Jahr;Todesursache;Geschlecht;Anzahl
1981;BN des Rektums, des Anus und am Rektosigmoid;weiblich;5278
1981;BN der Leber, der Gallenwege und des Pankreas;maennlich;7525
1981;BN der Leber, der Gallenwege und des Pankreas;weiblich;11027
1981;BN der Leber und der intrahepatischen Gallengaenge;maennlich;1845
1981;BN der Leber und der intrahepatischen Gallengaenge;weiblich;1798
1981;BN des Pankreas;maennlich;4132
1981;BN des Pankreas;weiblich;4460
1981;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;maennlich;27808
1981;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;weiblich;5067
1981;BN der Bronchien und der Lunge;maennlich;26397
1981;BN der Bronchien und der Lunge;weiblich;4925
1981;Melanom und sonstige boesartige Neubild. der Haut;maennlich;1026
1981;Melanom und sonstige boesartige Neubild. der Haut;weiblich;1106
1981;Boesartiges Melanom der Haut;maennlich;798
1981;Boesartiges Melanom der Haut;weiblich;871
1981;BN der Brustdruese;maennlich;108
1981;BN der Brustdruese;weiblich;15311
1981;BN der Genital- und Harnorgane;maennlich;16984
1981;BN der Genital- und Harnorgane;weiblich;19103
1981;BN der Cervix uteri;maennlich;NA
1981;BN der Cervix uteri;weiblich;3281
1981;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;maennlich;NA
1981;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;weiblich;3731
1981;BN des Ovars;maennlich;NA
1981;BN des Ovars;weiblich;5588
1981;BN der Prostata;maennlich;9219
1981;BN der Prostata;weiblich;NA
1981;BN der Niere, ausgenommen Nierenbecken;maennlich;2579
1981;BN der Niere, ausgenommen Nierenbecken;weiblich;1829
1981;BN der Harnblase;maennlich;4161
1981;BN der Harnblase;weiblich;1746
1981;BN d. lymphat., blutbild. u. verwandten Gewebes;maennlich;5566
1981;BN d. lymphat., blutbild. u. verwandten Gewebes;weiblich;5524
1981;Leukaemie;maennlich;3010
1981;Leukaemie;weiblich;2990
1981;Gutartige Neubildungen;maennlich;377
1981;Gutartige Neubildungen;weiblich;490
1981;Krankheiten des Blutes u. der blutbildenden Organe;maennlich;924
1981;Krankheiten des Blutes u. der blutbildenden Organe;weiblich;1343
1981;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;maennlich;6916
1981;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;weiblich;14016
1981;Diabetes mellitus;maennlich;5856
1981;Diabetes mellitus;weiblich;12179
1981;Psychische und Verhaltensstoerungen;maennlich;3703
1981;Psychische und Verhaltensstoerungen;weiblich;2271
1981;Psychische und Verhaltensstoerungen durch Alkohol;maennlich;2669
1981;Psychische und Verhaltensstoerungen durch Alkohol;weiblich;826
1981;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;maennlich;317
1981;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;weiblich;142
1981;Krankheiten d. Nervensystems u. d. Sinnesorgane;maennlich;4641
1981;Krankheiten d. Nervensystems u. d. Sinnesorgane;weiblich;5058
1981;Meningitis;maennlich;264
1981;Meningitis;weiblich;209
1981;Krankheiten des Kreislaufsystems;maennlich;220868
1981;Krankheiten des Kreislaufsystems;weiblich;284361
1981;Hypertonie (Hochdruckkrankheit);maennlich;10646
1981;Hypertonie (Hochdruckkrankheit);weiblich;21633
1981;Ischaemische Herzkrankheiten;maennlich;88898
1981;Ischaemische Herzkrankheiten;weiblich;74008
1981;Akuter oder rezidivierender Myokardinfarkt;maennlich;56480
1981;Akuter oder rezidivierender Myokardinfarkt;weiblich;36380
1981;Sonstige Formen der Herzkrankheit;maennlich;39473
1981;Sonstige Formen der Herzkrankheit;weiblich;61339
1981;Sonstige Krankheiten des Endokards;maennlich;1305
1981;Sonstige Krankheiten des Endokards;weiblich;2213
1981;Zerebrovaskulaere Krankheiten;maennlich;47645
1981;Zerebrovaskulaere Krankheiten;weiblich;77479
1981;Schlaganfall, nicht als Blutung oder Infarkt bez.;maennlich;26402
1981;Schlaganfall, nicht als Blutung oder Infarkt bez.;weiblich;42828
1981;Krankheiten der Arterien, Arteriolen und Kapillare;maennlich;25661
1981;Krankheiten der Arterien, Arteriolen und Kapillare;weiblich;38890
1981;Krankheiten des Atmungssystems;maennlich;32809
1981;Krankheiten des Atmungssystems;weiblich;21745
1981;Grippe;maennlich;317
1981;Grippe;weiblich;549
1981;Pneumonie;maennlich;7396
1981;Pneumonie;weiblich;9222
1981;Chronische Krankheiten der unteren Atemwege;maennlich;21782
1981;Chronische Krankheiten der unteren Atemwege;weiblich;9574
1981;Asthma;maennlich;3692
1981;Asthma;weiblich;2637
1981;COVID-19, Virus nachgewiesen;maennlich;NA
1981;COVID-19, Virus nachgewiesen;weiblich;NA
1981;COVID-19, Virus nicht nachgewiesen;maennlich;NA
1981;COVID-19, Virus nicht nachgewiesen;weiblich;NA
1981;Krankheiten des Verdauungssystems;maennlich;24986
1981;Krankheiten des Verdauungssystems;weiblich;21976
1981;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;maennlich;3022
1981;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;weiblich;2252
1981;Krankheiten der Leber;maennlich;13447
1981;Krankheiten der Leber;weiblich;7230
1981;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;maennlich;12727
1981;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;weiblich;6646
1981;Krankheiten der Haut und der Unterhaut;maennlich;258
1981;Krankheiten der Haut und der Unterhaut;weiblich;555
1981;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;maennlich;936
1981;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;weiblich;2627
1981;Chronische Polyarthritis und Arthrose;maennlich;312
1981;Chronische Polyarthritis und Arthrose;weiblich;1327
1981;Krankheiten des Urogenitalsystems;maennlich;7501
1981;Krankheiten des Urogenitalsystems;weiblich;6868
1981;Krankheiten der Niere;maennlich;4648
1981;Krankheiten der Niere;weiblich;6300
1981;Schwangerschaft, Geburt und Wochenbett;maennlich;NA
1981;Schwangerschaft, Geburt und Wochenbett;weiblich;160
1981;Best.Zustaende mit Ursprung in der Perinatalperiode;maennlich;2805
1981;Best.Zustaende mit Ursprung in der Perinatalperiode;weiblich;2027
1981;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;maennlich;2019
1981;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;weiblich;1679
1981;Angeborene Fehlbildungen des Nervensystems;maennlich;353
1981;Angeborene Fehlbildungen des Nervensystems;weiblich;333
1981;Angeborene Fehlbildungen des Kreislaufsystems;maennlich;919
1981;Angeborene Fehlbildungen des Kreislaufsystems;weiblich;728
1981;Symptome und abnorme klinische und Laborbefunde;maennlich;8429
1981;Symptome und abnorme klinische und Laborbefunde;weiblich;10170
1981;Ploetzlicher Kindstod;maennlich;465
1981;Ploetzlicher Kindstod;weiblich;309
1981;Sonst. ungenau bezeichnete u. unbek. Todesursachen;maennlich;5463
1981;Sonst. ungenau bezeichnete u. unbek. Todesursachen;weiblich;4141
1981;Aeussere Ursachen von Morbiditaet und Mortalitaet;maennlich;33059
1981;Aeussere Ursachen von Morbiditaet und Mortalitaet;weiblich;21683
1981;Unfaelle einschliesslich Spaetfolgen;maennlich;19304
1981;Unfaelle einschliesslich Spaetfolgen;weiblich;13943
1981;Transportmittelunfaelle;maennlich;10445
1981;Transportmittelunfaelle;weiblich;4080
1981;Stuerze;maennlich;4181
1981;Stuerze;weiblich;7440
1981;Ertrinken und Untergehen;maennlich;820
1981;Ertrinken und Untergehen;weiblich;279
1981;Exposition gegenueber Rauch, Feuer und Flammen;maennlich;458
1981;Exposition gegenueber Rauch, Feuer und Flammen;weiblich;339
1981;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);maennlich;579
1981;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);weiblich;589
1981;Vorsaetzliche Selbstbeschaedigung;maennlich;12192
1981;Vorsaetzliche Selbstbeschaedigung;weiblich;6633
1981;Taetlicher Angriff;maennlich;490
1981;Taetlicher Angriff;weiblich;407
1981;Ereignis, dessen naehere Umstaende unbestimmt sind;maennlich;1030
1981;Ereignis, dessen naehere Umstaende unbestimmt sind;weiblich;698
1981;Insgesamt;maennlich;453213
1981;Insgesamt;weiblich;501160
1982;Bestimmte infektioese und parasitaere Krankheiten;maennlich;3101
1982;Bestimmte infektioese und parasitaere Krankheiten;weiblich;2633
1982;Tuberkulose einschliesslich ihrer Folgezustaende;maennlich;1558
1982;Tuberkulose einschliesslich ihrer Folgezustaende;weiblich;703
1982;Meningokokkeninfektion;maennlich;89
1982;Meningokokkeninfektion;weiblich;62
1982;Virushepatitis;maennlich;111
1982;Virushepatitis;weiblich;93
1982;HIV-Krankheit;maennlich;NA
1982;HIV-Krankheit;weiblich;NA
1982;Neubildungen;maennlich;100383
1982;Neubildungen;weiblich;102621
1982;Boesartige Neubildungen (BN);maennlich;96870
1982;Boesartige Neubildungen (BN);weiblich;98393
1982;BN der Lippe, der Mundhoehle und des Pharynx;maennlich;2131
1982;BN der Lippe, der Mundhoehle und des Pharynx;weiblich;700
1982;BN des Oesophagus;maennlich;2048
1982;BN des Oesophagus;weiblich;723
1982;BN des Magens;maennlich;11239
1982;BN des Magens;weiblich;10524
1982;BN des Dickdarms;maennlich;6951
1982;BN des Dickdarms;weiblich;10344
1982;BN des Rektums, des Anus und am Rektosigmoid;maennlich;4762
1982;BN des Rektums, des Anus und am Rektosigmoid;weiblich;5295
1982;BN der Leber, der Gallenwege und des Pankreas;maennlich;7448
1982;BN der Leber, der Gallenwege und des Pankreas;weiblich;11230
1982;BN der Leber und der intrahepatischen Gallengaenge;maennlich;1875
1982;BN der Leber und der intrahepatischen Gallengaenge;weiblich;1765
1982;BN des Pankreas;maennlich;4159
1982;BN des Pankreas;weiblich;4732
1982;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;maennlich;27674
1982;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;weiblich;5233
1982;BN der Bronchien und der Lunge;maennlich;26259
1982;BN der Bronchien und der Lunge;weiblich;5065
1982;Melanom und sonstige boesartige Neubild. der Haut;maennlich;1038
1982;Melanom und sonstige boesartige Neubild. der Haut;weiblich;1161
1982;Boesartiges Melanom der Haut;maennlich;811
1982;Boesartiges Melanom der Haut;weiblich;874
1982;BN der Brustdruese;maennlich;115
1982;BN der Brustdruese;weiblich;15413
1982;BN der Genital- und Harnorgane;maennlich;17134
1982;BN der Genital- und Harnorgane;weiblich;18941
1982;BN der Cervix uteri;maennlich;NA
1982;BN der Cervix uteri;weiblich;3010
1982;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;maennlich;NA
1982;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;weiblich;3561
1982;BN des Ovars;maennlich;NA
1982;BN des Ovars;weiblich;5803
1982;BN der Prostata;maennlich;9168
1982;BN der Prostata;weiblich;NA
1982;BN der Niere, ausgenommen Nierenbecken;maennlich;2641
1982;BN der Niere, ausgenommen Nierenbecken;weiblich;1871
1982;BN der Harnblase;maennlich;4272
1982;BN der Harnblase;weiblich;1869
1982;BN d. lymphat., blutbild. u. verwandten Gewebes;maennlich;5837
1982;BN d. lymphat., blutbild. u. verwandten Gewebes;weiblich;5620
1982;Leukaemie;maennlich;3223
1982;Leukaemie;weiblich;3092
1982;Gutartige Neubildungen;maennlich;360
1982;Gutartige Neubildungen;weiblich;462
1982;Krankheiten des Blutes u. der blutbildenden Organe;maennlich;957
1982;Krankheiten des Blutes u. der blutbildenden Organe;weiblich;1365
1982;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;maennlich;6425
1982;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;weiblich;12730
1982;Diabetes mellitus;maennlich;5376
1982;Diabetes mellitus;weiblich;11106
1982;Psychische und Verhaltensstoerungen;maennlich;3541
1982;Psychische und Verhaltensstoerungen;weiblich;2388
1982;Psychische und Verhaltensstoerungen durch Alkohol;maennlich;2518
1982;Psychische und Verhaltensstoerungen durch Alkohol;weiblich;779
1982;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;maennlich;319
1982;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;weiblich;153
1982;Krankheiten d. Nervensystems u. d. Sinnesorgane;maennlich;4608
1982;Krankheiten d. Nervensystems u. d. Sinnesorgane;weiblich;5273
1982;Meningitis;maennlich;259
1982;Meningitis;weiblich;222
1982;Krankheiten des Kreislaufsystems;maennlich;215578
1982;Krankheiten des Kreislaufsystems;weiblich;279750
1982;Hypertonie (Hochdruckkrankheit);maennlich;10054
1982;Hypertonie (Hochdruckkrankheit);weiblich;20776
1982;Ischaemische Herzkrankheiten;maennlich;87824
1982;Ischaemische Herzkrankheiten;weiblich;74422
1982;Akuter oder rezidivierender Myokardinfarkt;maennlich;54905
1982;Akuter oder rezidivierender Myokardinfarkt;weiblich;36139
1982;Sonstige Formen der Herzkrankheit;maennlich;37927
1982;Sonstige Formen der Herzkrankheit;weiblich;60075
1982;Sonstige Krankheiten des Endokards;maennlich;1371
1982;Sonstige Krankheiten des Endokards;weiblich;2242
1982;Zerebrovaskulaere Krankheiten;maennlich;45299
1982;Zerebrovaskulaere Krankheiten;weiblich;74465
1982;Schlaganfall, nicht als Blutung oder Infarkt bez.;maennlich;25205
1982;Schlaganfall, nicht als Blutung oder Infarkt bez.;weiblich;41240
1982;Krankheiten der Arterien, Arteriolen und Kapillare;maennlich;25643
1982;Krankheiten der Arterien, Arteriolen und Kapillare;weiblich;38674
1982;Krankheiten des Atmungssystems;maennlich;33305
1982;Krankheiten des Atmungssystems;weiblich;23317
1982;Grippe;maennlich;224
1982;Grippe;weiblich;327
1982;Pneumonie;maennlich;8740
1982;Pneumonie;weiblich;11100
1982;Chronische Krankheiten der unteren Atemwege;maennlich;20852
1982;Chronische Krankheiten der unteren Atemwege;weiblich;9498
1982;Asthma;maennlich;3599
1982;Asthma;weiblich;2757
1982;COVID-19, Virus nachgewiesen;maennlich;NA
1982;COVID-19, Virus nachgewiesen;weiblich;NA
1982;COVID-19, Virus nicht nachgewiesen;maennlich;NA
1982;COVID-19, Virus nicht nachgewiesen;weiblich;NA
1982;Krankheiten des Verdauungssystems;maennlich;24007
1982;Krankheiten des Verdauungssystems;weiblich;21746
1982;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;maennlich;2888
1982;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;weiblich;2269
1982;Krankheiten der Leber;maennlich;12612
1982;Krankheiten der Leber;weiblich;6951
1982;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;maennlich;11803
1982;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;weiblich;6357
1982;Krankheiten der Haut und der Unterhaut;maennlich;254
