"Name";"Trikotnummer";"Position";"Alter";"Groesse";"Gewicht"
"Christian Barmore";90;"DT";22;193,04;140,61352
"Byron Cowart";99;"DT";26;190,5;136,0776
"Carl Davis";98;"DT";30;195,58;145,14944
"Daniel Ekuale";95;"DT";28;190,5;138,34556
"Davon Godchaux";92;"DT";27;190,5;141,067112
"Bill Murray";97;"DT";24;193,04;120,20188
"LaBryan Ray";NA;"DT";NA;195,58;129,27372
"Sam Roberts";NA;"DT";NA;195,58;79,3786
"Ja'Whaun Bentley";8;"LB";25;187,96;115,66596
"Anfernee Jennings";58;"LB";24;190,5;117,480328
"Matthew Judon";9;"LB";29;190,5;124,7378
"Harvey Langi";52;"LB";29;187,96;113,398
"Cameron McGrone";45;"LB";21;185,42;107,047712
"Raekwon McMillan";46;"LB";25;187,96;109,769264
"Ronnie Perkins";51;"LB";22;190,5;112,037224
"Jahlani Tavai";48;"LB";25;187,96;113,398
"Josh Uche";55;"LB";23;190,5;111,13004
"Mack Wilson";NA;"LB";24;185,42;105,686936
"Justin Bethel";29;"CB";31;182,88;90,7184
"Myles Bryant";41;"CB";24;175,26;83,91452
"Malcolm Butler";4;"CB";32;180,34;86,18248
"Jack Jones";NA;"CB";NA;177,8;79,3786
"Jonathan Jones";31;"CB";28;177,8;86,18248
"Marcus Jones";NA;"CB";23;172,72;83,91452
"Jalen Mills";2;"CB";28;182,88;86,636072
"Terrance Mitchell";NA;"CB";30;180,34;86,636072
"Shaun Wade";26;"CB";23;185,42;86,636072
"Joejuan Williams";33;"CB";24;190,5;96,161504
"Joshuah Bledsoe";34;"S";23;180,34;91,171992
"Cody Davis";22;"S";32;187,96;92,079176
"Kyle Dugger";23;"S";26;187,96;99,79024
"Devin McCourty";32;"S";34;177,8;88,45044
"Jabrill Peppers";3;"S";26;180,34;97,52228
"Adrian Phillips";21;"S";30;180,34;95,25432
"Brenden Schooler";NA;"S";NA;187,96;93,439952
"Nick Folk";6;"PK";37;185,42;100,697424
"Quinn Nordin";3;"PK";23;185,42;85,728888
"Jake Bailey";7;"P";24;187,96;92,98636
"Jake Julien";NA;"P";NA;187,96;98,429464
"Joe Cardona";49;"LS";30;190,5;111,13004
"Ross Reiter";NA;"LS";NA;182,88;106,59412
"Joe Flacco";19;"QB";37;198,12;111,13004
"Mike White";5;"QB";27;195,58;98,883056
"Zach Wilson";2;"QB";22;187,96;97,068688
"Michael Carter";32;"RB";23;172,72;91,171992
"Tevin Coleman";23;"RB";29;185,42;95,25432
"Breece Hall";NA;"RB";21;185,42;99,79024
"Ty Johnson";25;"RB";24;177,8;95,25432
"Zonovan Knight";NA;"RB";NA;180,34;95,25432
"La'Mical Perine";22;"RB";24;180,34;97,975872
"Nick Bawden";48;"FB";25;187,96;111,13004
"Keshunn Abram";NA;"WR";23;187,96;87,543256
